Author-Paper Id,Author,Title,Year,Citations
txJDemQAAAAJ:Xs1h1I_UytMC,Prof. Dr. Khalid Mahmood Zia,"Recent advances on polysaccharides, lipids and protein based edible films and coatings: A review",2018,947
txJDemQAAAAJ:u5HHmVD_uO8C,Prof. Dr. Khalid Mahmood Zia,"Methods for polyurethane and polyurethane composites, recycling and recovery: A review",2007,800
txJDemQAAAAJ:GnPB-g6toBAC,Prof. Dr. Khalid Mahmood Zia,Microbial production of polyhydroxyalkanoates (PHAs) and its copolymers: A review of recent advancements,2016,686
txJDemQAAAAJ:cUWptXWc3MAC,Prof. Dr. Khalid Mahmood Zia,"A review on synthesis, properties and applications of natural polymer based carrageenan blends and composites",2017,367
txJDemQAAAAJ:lSLTfruPkqcC,Prof. Dr. Khalid Mahmood Zia,"Lignin-derivatives based polymers, blends and composites: A review",2016,335
txJDemQAAAAJ:maZDTaKrznsC,Prof. Dr. Khalid Mahmood Zia,Bio-based polyurethane: An efficient and environment friendly coating systems: A review,2016,312
txJDemQAAAAJ:cFcI8uaobsAC,Prof. Dr. Khalid Mahmood Zia,Pectins functionalized biomaterials; a new viable approach for biomedical applications: A review,2017,289
txJDemQAAAAJ:7DTIKO_nxaIC,Prof. Dr. Khalid Mahmood Zia,Recent trends on gellan gum blends with natural and synthetic polymers: A review,2018,275
txJDemQAAAAJ:bEWYMUwI8FkC,Prof. Dr. Khalid Mahmood Zia,Recent developments in curcumin and curcumin based polymeric materials for biomedical applications: A review,2015,274
txJDemQAAAAJ:TFP_iSt0sucC,Prof. Dr. Khalid Mahmood Zia,Recent developments and future prospects on bio-based polyesters derived from renewable resources: A review,2016,241
NcAcMrMAAAAJ:u5HHmVD_uO8C,Joseph M. Zadrozny,Hydrocarbon separations in a metal-organic framework with open iron (II) coordination sites,2012,1763
NcAcMrMAAAAJ:9yKSN-GCB0IC,Joseph M. Zadrozny,Magnetic blocking in a linear iron(I) complex,2013,627
NcAcMrMAAAAJ:d1gkVwhDpl0C,Joseph M. Zadrozny,Slow magnetization dynamics in a series of two-coordinate iron (II) complexes,2013,567
NcAcMrMAAAAJ:u-x6o8ySG0sC,Joseph M. Zadrozny,Slow Magnetic Relaxation at Zero Field in the Tetrahedral Complex [Co(SPh)4]2–,2011,481
NcAcMrMAAAAJ:Se3iqnhoufwC,Joseph M. Zadrozny,Millisecond coherence time in a tunable molecular electronic spin qubit,2015,379
NcAcMrMAAAAJ:2osOgNQ5qMEC,Joseph M. Zadrozny,Exchange coupling and magnetic blocking in bipyrimidyl radical-bridged dilanthanide complexes,2012,366
NcAcMrMAAAAJ:roLk4NBRz8UC,Joseph M. Zadrozny,Slow magnetic relaxation in a pseudotetrahedral cobalt (II) complex with easy-plane anisotropy,2012,279
NcAcMrMAAAAJ:qjMakFHDy7sC,Joseph M. Zadrozny,"A theoretical analysis of chemical bonding, vibronic coupling, and magnetic anisotropy in linear iron (II) complexes with single-molecule magnet behavior",2013,260
NcAcMrMAAAAJ:W7OEmFMy1HYC,Joseph M. Zadrozny,Reversible CO Binding Enables Tunable CO/H2 and CO/N2 Separations in Metal–Organic Frameworks with Exposed Divalent Metal Cations,2014,234
NcAcMrMAAAAJ:zYLM7Y9cAGgC,Joseph M. Zadrozny,"Slow magnetic relaxation in the tetrahedral cobalt (II) complexes [Co (EPh) 4] 2−(EO, S, Se)",2013,232
BH7EBnEAAAAJ:owLR8QvbtFgC,Gabriel Alonso-Nuñez; Gabriel Alonso,SBA-15 mesoporous silica as catalytic support for hydrodesulfurization catalysts,2013,225
BH7EBnEAAAAJ:1sJd4Hv_s6UC,Gabriel Alonso-Nuñez; Gabriel Alonso,Characterization and HDS activity of mesoporous MoS2 catalysts prepared by in situ activation of tetraalkylammonium thiomolybdates,2002,181
BH7EBnEAAAAJ:nb7KW1ujOQ8C,Gabriel Alonso-Nuñez; Gabriel Alonso,Study of carbon nanotubes synthesis by spray pyrolysis and model of growth,2006,154
BH7EBnEAAAAJ:uWiczbcajpAC,Gabriel Alonso-Nuñez; Gabriel Alonso,A green synthesis of copper nanoparticles using native cyclodextrins as stabilizing agents,2017,141
BH7EBnEAAAAJ:KxtntwgDAa4C,Gabriel Alonso-Nuñez; Gabriel Alonso,CoMo/Ti-SBA-15 catalysts for dibenzothiophene desulfurization,2007,138
BH7EBnEAAAAJ:P5F9QuxV20EC,Gabriel Alonso-Nuñez; Gabriel Alonso,Preparation of MoS2 and WS2 catalysts by in situ decomposition of ammonium thiosalts,1998,129
BH7EBnEAAAAJ:dshw04ExmUIC,Gabriel Alonso-Nuñez; Gabriel Alonso,Preparation of MoS2 catalysts by in situ decomposition of tetraalkylammonium thiomolybdates,1998,112
BH7EBnEAAAAJ:4vMrXwiscB8C,Gabriel Alonso-Nuñez; Gabriel Alonso,Study of the green synthesis of silver nanoparticles using a natural extract of dark or white Salvia hispanica L. seeds and their antibacterial application,2019,105
BH7EBnEAAAAJ:SP6oXDckpogC,Gabriel Alonso-Nuñez; Gabriel Alonso,Nickel-Molybdenum-Tungsten Sulfide catalysts prepared by in situ activation of tri-metallic (Ni-Mo-W) alkylthiomolybdotungstates,2005,103
BH7EBnEAAAAJ:UxriW0iASnsC,Gabriel Alonso-Nuñez; Gabriel Alonso,Preparation of WS2 catalysts by in situ decomposition of tetraalkylammonium thiotungstates,2000,103
WAYUPJAAAAAJ:u5HHmVD_uO8C,Collin Roesler,Modeling in situ phytoplankton absorption from total absorption spectra in productive inland marine waters,1989,566
WAYUPJAAAAAJ:u-x6o8ySG0sC,Collin Roesler,"In situ phytoplankton absorption, fluorescence emission, and particulate backscattering spectra determined from reflectance",1995,404
WAYUPJAAAAAJ:Tiz5es2fbqcC,Collin Roesler,An overview of approaches and challenges for retrieving marine inherent optical properties from ocean color remote sensing,2018,322
WAYUPJAAAAAJ:d1gkVwhDpl0C,Collin Roesler,Theoretical and experimental approaches to improve the accuracy of particulate absorption coefficients derived from the quantitative filter technique,1998,247
WAYUPJAAAAAJ:CHSYGLWDkRkC,Collin Roesler,Recommendations for obtaining unbiased chlorophyll estimates from in situ chlorophyll fluorometers: A global analysis of WET Labs ECO sensors,2017,231
WAYUPJAAAAAJ:2osOgNQ5qMEC,Collin Roesler,Variability in Arctic sea ice optical properties,1998,216
WAYUPJAAAAAJ:9yKSN-GCB0IC,Collin Roesler,Optical monitoring and forecasting systems for harmful algal blooms: possibility or pipe dream?,1999,177
WAYUPJAAAAAJ:zYLM7Y9cAGgC,Collin Roesler,"Effects of temperature, irradiance, and salinity on photosynthesis, growth rates, total toxicity, and toxin composition for Alexandrium fundyense isolates from the Gulf of Maine and Bay of Fundy",2005,156
WAYUPJAAAAAJ:tOudhMTPpwUC,Collin Roesler,Satellite sensor requirements for monitoring essential biodiversity variables of coastal ecosystems,2018,142
WAYUPJAAAAAJ:vRqMK49ujn8C,Collin Roesler,Ocean optics web book,2010,137
iK9CfwoAAAAJ:nmnCZhbNdt4C,Dr. Ajay Singh,"Colorimetric chemosensors for d-metal ions: A review in the past, present and future prospect",2019,107
iK9CfwoAAAAJ:mtq4Lr8gjtYC,Dr. Ajay Singh,Identification and mapping in spring wheat of genetic factors controlling stem rust resistance and the study of their epistatic interactions across multiple environments,2013,74
iK9CfwoAAAAJ:VY6XGRaXF-sC,Dr. Ajay Singh,"Green synthesis, characterisations and antimicrobial activities of CaO nanoparticles",2019,62
iK9CfwoAAAAJ:AZju0d2GQJ0C,Dr. Ajay Singh,Distribution of pathogens causing foliar blight of wheat in India and neighbouring countries,1997,57
iK9CfwoAAAAJ:wsYPZf_qF0UC,Dr. Ajay Singh,Laser metal deposition of nickel coated Al 7050 alloy,2017,55
iK9CfwoAAAAJ:CJJaNdYp-j8C,Dr. Ajay Singh,Green Synthesis of Photocatalytic TiO2 Nanoparticles for Potential Application in Photochemical Degradation of Ornidazole,2021,50
iK9CfwoAAAAJ:UeHWp8X0CEIC,Dr. Ajay Singh,"Heavy metal concentrations in pharmaceutical effluents of Industrial Area of Dehradun (Uttarakhand), India",2013,47
iK9CfwoAAAAJ:Qx5QGsQ0O-cC,Dr. Ajay Singh,"Algae-based sustainable approach for simultaneous removal of micropollutants, and bacteria from urban wastewater and its real-time reuse for aquaculture",2021,46
iK9CfwoAAAAJ:FSHXWovK7t4C,Dr. Ajay Singh,Interaction of turmeric (Curcuma longa L.) with beneficial microbes: a review,2017,45
iK9CfwoAAAAJ:TdcqFaaFpGIC,Dr. Ajay Singh,"New plant hosts for group  16SrII, 'Candidatus Phytoplasma aurantifolia', in  India",2008,38
CE5xULUAAAAJ:_FxGoFyzp5QC,Lisa Marie Warner,Perceived self-efficacy and its relationship to resilience,2012,506
CE5xULUAAAAJ:IjCSPb-OGe4C,Lisa Marie Warner,How do negative self-perceptions of aging become a self-fulfilling prophecy?,2013,291
CE5xULUAAAAJ:ufrVoPGSRksC,Lisa Marie Warner,What do targeting positive views on ageing add to a physical activity intervention in older adults? Results from a randomised controlled trial,2014,218
CE5xULUAAAAJ:d1gkVwhDpl0C,Lisa Marie Warner,Forschung zur Selbstwirksamkeit bei Lehrerinnen und Lehrern (Research on Teacher Self-efficacy),2011,217
CE5xULUAAAAJ:u5HHmVD_uO8C,Lisa Marie Warner,Medication beliefs predict medication adherence in older adults with multiple illnesses,2011,186
CE5xULUAAAAJ:UebtZRa9Y70C,Lisa Marie Warner,Sources of self-efficacy for physical activity.,2014,166
CE5xULUAAAAJ:hC7cP41nSMkC,Lisa Marie Warner,The role of physical activity in the relationship between self-perceptions of ageing and self-rated health in older adults,2015,149
CE5xULUAAAAJ:u-x6o8ySG0sC,Lisa Marie Warner,Emotional and uncontrolled eating styles and chocolate chip cookie consumption. A controlled trial of the effects of positive mood enhancement,2010,144
CE5xULUAAAAJ:QIV2ME_5wuYC,Lisa Marie Warner,The role of self-efficacy and friend support on adolescent vigorous physical activity,2017,139
CE5xULUAAAAJ:2osOgNQ5qMEC,Lisa Marie Warner,Physical activity intervention in older adults: does a participating partner make a difference?,2011,134
hOm5kIIAAAAJ:u5HHmVD_uO8C,Vo Nguyen Quoc Bao,On the performance of selection decode-and-forward relay networks over Nakagami-m fading channels,2009,224
hOm5kIIAAAAJ:RYcK_YlVTxYC,Vo Nguyen Quoc Bao,Cognitive Amplify-and-Forward Relay Networks over Nakagami-m Fading,2012,212
hOm5kIIAAAAJ:ZHo1McVdvXMC,Vo Nguyen Quoc Bao,Relay Selection Schemes for Dual-Hop Networks under Security Constraints with Multiple Eavesdroppers,2013,200
hOm5kIIAAAAJ:pxXbYLTb8EgC,Vo Nguyen Quoc Bao,Survey on aerial radio access networks: Toward a comprehensive 6G access infrastructure,2021,181
hOm5kIIAAAAJ:kRWSkSYxWN8C,Vo Nguyen Quoc Bao,Cognitive Amplify-and-Forward Relaying with Best Relay Selection in Non-Identical Rayleigh Fading,2013,166
hOm5kIIAAAAJ:g5m5HwL7SMYC,Vo Nguyen Quoc Bao,Cognitive relay networks with multiple primary transceivers under spectrum-sharing,2012,160
hOm5kIIAAAAJ:qxL8FJ1GzNcC,Vo Nguyen Quoc Bao,Exact outage probability of cognitive AF relaying with underlay spectrum sharing,2011,145
hOm5kIIAAAAJ:vnF2_uLGgtgC,Vo Nguyen Quoc Bao,Proactive Relay Selection with Joint Impact of Hardware Impairment and Co-channel Interference,2015,140
hOm5kIIAAAAJ:eMMeJKvmdy0C,Vo Nguyen Quoc Bao,On the Performance of Cognitive Underlay Multihop Networks with Imperfect Channel State Information,2013,115
hOm5kIIAAAAJ:e5wmG9Sq2KIC,Vo Nguyen Quoc Bao,Cooperative spectrum sharing networks with AF relay and selection diversity,2011,71
Gpw2vc4AAAAJ:qxL8FJ1GzNcC,Philippe Bopp,An improved potential for non-rigid water molecules in the liquid phase,1983,567
Gpw2vc4AAAAJ:hC7cP41nSMkC,Philippe Bopp,Molecular dynamics and x-ray investigation of an aqueous calcium chloride solution,1985,209
Gpw2vc4AAAAJ:UeHWp8X0CEIC,Philippe Bopp,Static nonlocal dielectric function of liquid water,1996,189
Gpw2vc4AAAAJ:_kc_bZDykSQC,Philippe Bopp,Molecular dynamics simulation study of an n-decyltrimethylammonium chloride micelle in water,1994,149
Gpw2vc4AAAAJ:LkGwnXOMwfcC,Philippe Bopp,Molecular dynamics study of high-density liquid water using a modified central-force potential,1984,143
Gpw2vc4AAAAJ:WF5omc3nYNoC,Philippe Bopp,"Molecular dynamics simulation of zeolite NaY: a study of structure, dynamics, and thermalization of sorbates",1992,140
Gpw2vc4AAAAJ:_Qo2XoVZTnwC,Philippe Bopp,Enantioselective recognition at mesoporous chiral metal surfaces,2014,138
Gpw2vc4AAAAJ:UxriW0iASnsC,Philippe Bopp,A study of the vibrational motions of water in an aqueous CaCl2 solution,1986,138
Gpw2vc4AAAAJ:RHpTSmoSYBkC,Philippe Bopp,Molecular dynamics simulation of a n-hexadecyltrimethylammonium chloride monolayer,1992,134
Gpw2vc4AAAAJ:aqlVkmm33-oC,Philippe Bopp,Frequency and wave-vector dependent dielectric function of water: Collective modes and relaxation spectra,1998,132
GkIAewcAAAAJ:N5tVd3kTz84C,Nguyen Dinh Dang,Ground-state correlations beyond RPA,1994,137
GkIAewcAAAAJ:UxriW0iASnsC,Nguyen Dinh Dang,"Quantal and Thermal Dampings of Giant Dipole Resonances in , , and ",1998,97
GkIAewcAAAAJ:QIV2ME_5wuYC,Nguyen Dinh Dang,Temperature dependence of quantal and thermal dampings of the hot giant dipole resonance,1998,66
GkIAewcAAAAJ:2osOgNQ5qMEC,Nguyen Dinh Dang,Improved treatment of ground-state correlations: Modified random phase approximation,2001,61
GkIAewcAAAAJ:vV6vV6tmYwMC,Nguyen Dinh Dang,Simultaneous microscopic description of nuclear level density and radiative strength function,2017,57
GkIAewcAAAAJ:YsMSGLbcyi4C,Nguyen Dinh Dang,Modified Hartree-Fock-Bogoliubov theory at finite temperature,2003,56
GkIAewcAAAAJ:9vf0nzSNQJEC,Nguyen Dinh Dang,Spreading of the Gamow-Teller Resonance in Nb and Bi,1997,51
GkIAewcAAAAJ:eMMeJKvmdy0C,Nguyen Dinh Dang,Lipkin-Nogami method at finite temperature in the static-path approximation,1993,49
GkIAewcAAAAJ:uWQEDVKXjbEC,Nguyen Dinh Dang,Finite temperature projected calculations in the static path approximation,1992,44
GkIAewcAAAAJ:eQOLeE2rZwMC,Nguyen Dinh Dang,Influence of particle number fluctuations and vibrational modes on thermodynamic characteristics of a hot nucleus,1990,44
Vvlg_rQAAAAJ:QD3KBmkZPeQC,Evgeni Ivanov,PLA/Graphene/MWCNT composites with improved electrical and thermal properties suitable for FDM 3D printing applications,2019,174
Vvlg_rQAAAAJ:PVgj2kMGcgYC,Evgeni Ivanov,Effects of graphene nanoplatelets and multiwall carbon nanotubes on the structure and mechanical properties of poly (lactic acid) composites: a comparative study,2019,106
Vvlg_rQAAAAJ:IjCSPb-OGe4C,Evgeni Ivanov,"Epoxy composites filled with high surface area-carbon fillers: Optimization of electromagnetic shielding, electrical, mechanical, and thermal properties",2013,94
Vvlg_rQAAAAJ:ODE9OILHJdcC,Evgeni Ivanov,Effects of sonochemical modification of carbon nanotubes on electrical and electromagnetic shielding properties of epoxy composites,2015,89
Vvlg_rQAAAAJ:lgwcVrK6X84C,Evgeni Ivanov,"Exploring thermal annealing and graphene-carbon nanotube additives to enhance crystallinity, thermal, electrical and tensile properties of aged poly (lactic) acid-based filament for 3D printing",2019,81
Vvlg_rQAAAAJ:u5HHmVD_uO8C,Evgeni Ivanov,"Effects of processing conditions on rheological, thermal, and electrical properties of multiwall carbon nanotube/epoxy resin composites",2011,77
Vvlg_rQAAAAJ:jL-93Qbq4QoC,Evgeni Ivanov,Rheological and electrical behaviour of nanocarbon/poly (lactic) acid for 3D printing applications,2019,68
Vvlg_rQAAAAJ:1lhNe0rCu4AC,Evgeni Ivanov,Nanocarbon/poly (lactic) acid for 3D printing: effect of fillers content on electromagnetic and thermal properties,2019,56
Vvlg_rQAAAAJ:nRpfm8aw39MC,Evgeni Ivanov,"Effects of filament extrusion, 3D printing and hot-pressing on electrical and tensile properties of poly (lactic) acid composites filled with carbon nanotubes and graphene",2019,55
Vvlg_rQAAAAJ:BJbdYPG6LGMC,Evgeni Ivanov,Terahertz absorption in graphite nanoplatelets/polylactic acid composites,2018,47
